index,episode,episode_name,segment,type,actor,character,detail,record_date,series,transmission_date
32,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"Terry Jones",Teacher,"Not all at once ... sit down Mario. Giuseppe!","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
33,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"Michael Palin",Giuseppe,"Il cucchiaio.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
34,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"Terry Jones",Teacher,"Well done Giuseppe, or, as the Italians would say: 'Molto bene, Giuseppe'.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
35,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"Michael Palin",Giuseppe,"Grazie signor ... grazie di tutta la sua gentilezza.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
36,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"Terry Jones",Teacher,"Well, now, this week we're going to learn some useful phrases to help us open a conversation with an Italian. Now first of all try telling him where you come from. For example, I would say: 'Sono Inglese di Gerrard's Cross', I am an Englishman from Gerrard's Cross. Shall we all try that together?","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
37,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,,All,"Sono Inglese di Gerrard's Cross.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
38,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"Terry Jones",Teacher,"Not too bad, now let's try it with somebody else. Er... Mr... ?","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
39,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"John Cleese",Mariolini,Mariolini.,"1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
40,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"Terry Jones",Teacher,"Ah, Mr Mariolini, and where are you from?","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
41,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"John Cleese",Mariolini,"Napoli, signor.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
42,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"Terry Jones",Teacher,"Ah ... you're an Italian.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
43,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"John Cleese",Mariolini,"Si, si signor!","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
44,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"Terry Jones",Teacher,"Well in that case you would say: 'Sono Italiano di Napoli'.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
45,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"John Cleese",Mariolini,"Ah, capisco, mile grazie signor...","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
46,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"Eric Idle",Francesco,"Per favore, signor!","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
47,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"Terry Jones",Teacher,Yes?,"1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
48,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"Eric Idle",Francesco,"Non conosgeve parliamente, signor devo me parlo sono Italiano di Napoli quando il habitare de Milano.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
49,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"Terry Jones",Teacher,"I'm sorry ... I don't understand!","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
50,1,"Episode One: Whither Canada?","Italian lesson",Direction,,Giuseppe,"pointing to Francesco","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
51,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"Michael Palin",Giuseppe,"My friend say 'Why must he say...'","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
52,1,"Episode One: Whither Canada?","Italian lesson",Direction,,,"Hand goes up at back of room and a Lederhosen Teutonic figure stands up.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
53,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"Graham Chapman",German,"Bitte mein Herr. Was ist das Won für Mittelschmerz?","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
54,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"Terry Jones",Teacher,"Ah! Helmut - you want the German classes.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
55,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"Graham Chapman",German,"Oh ja! Danke schön.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
56,1,"Episode One: Whither Canada?","Italian lesson",Direction,,German,"he starts to leave","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
57,1,"Episode One: Whither Canada?","Italian lesson",Direction,,German,"he leaves","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
58,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"Michael Palin",Giuseppe,"My friend he say, 'Why must I say I am Italian from Napoli when he lives in Milan?'","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
59,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"Terry Jones",Teacher,"Ah, I... well, tell your friend ... if he lives in Milan he must say 'Sono Italiano di Milano...'","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
60,1,"Episode One: Whither Canada?","Italian lesson",Direction,,Francesco,"agitatedly, leaping to his feet","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
61,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"Eric Idle",Francesco,"Eeeeeee! Milano è tanto meglio di Napoli. Milano è la citta la più bella di tutti ... nel mondo...","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
62,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"Michael Palin",Giuseppe,"He say 'Milan is better than Napoli'.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
63,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"Terry Jones",Teacher,"Oh, he shouldn't be saying that, we haven't done comparatives yet.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
64,1,"Episode One: Whither Canada?","Italian lesson",Direction,,,"In the background everyone has started talking in agitated Italian. At this point a genuine mandolin-playing Italian secreted amongst the cast strikes up: 'Quando Caliente Del Sol...' or similar. The class is out of control by this time. The teacher helplessly tries to control then but eventually gives up and retreats to his desk and sits down. There is a loud pig squeal and he leaps up.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
65,1,"Episode One: Whither Canada?","Italian lesson",Direction,,,ANIMATION:,"1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
66,1,"Episode One: Whither Canada?","Italian lesson",Direction,,,"The Blackboard with the coloured pigs drawn on it, is reproduced on the first few frames of the animation film. A real hand comes into the picture and crosses off a third pig. Thereafter action follows the dictates of Señor Gilliam's wonderfully visual mind.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
67,1,"Episode One: Whither Canada?","Whizzo butter",,,,"At the end of this animation we have an advertisement for Whizzo butter.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
68,1,"Episode One: Whither Canada?","Whizzo butter",Direction,,"Voice Over","on animation","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
69,1,"Episode One: Whither Canada?","Whizzo butter",Dialogue,"Terry Gilliam","Voice Over","Yes, mothers, new improved Whizzo butter containing 10% more or less is absolutely indistinguishable from a dead crab. Remember, buy Whizzo butter and go to HEAVEN!","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
70,1,"Episode One: Whither Canada?","Whizzo butter",Direction,,,"Cut to a group middle-aged lower-middle-class women (hereinafter referred to as 'Pepperpots') being interviewed.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
71,1,"Episode One: Whither Canada?","Whizzo butter",Dialogue,"Graham Chapman","First Pepperpot","I can't tell the difference between Whizzo butter and this dead crab.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
72,1,"Episode One: Whither Canada?","Whizzo butter",Dialogue,"Michael Palin",Interviewer,"Yes, you know, we find that nine out of ten British housewives can't tell the difference between Whizzo butter and a dead crab.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
73,1,"Episode One: Whither Canada?","Whizzo butter",Dialogue,,Pepperpots,"It's true, we can't. No.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
74,1,"Episode One: Whither Canada?","Whizzo butter",Dialogue,"John Cleese","Second Pepperpot","Here. Here! You're on television, aren't you?","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
75,1,"Episode One: Whither Canada?","Whizzo butter",Direction,,Interviewer,modestly,"1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
76,1,"Episode One: Whither Canada?","Whizzo butter",Dialogue,"Michael Palin",Interviewer,"Yes, yes.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
77,1,"Episode One: Whither Canada?","Whizzo butter",Dialogue,"John Cleese","Second Pepperpot","He does the thing with one of those silly women who can't tell Whizzo butter from a dead crab.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
78,1,"Episode One: Whither Canada?","Whizzo butter",Dialogue,"Terry Jones","Third Pepperpot","You try that around here, young man, and we'll slit your face.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
79,1,"Episode One: Whither Canada?","It's the Arts",,,,"CAPTION: 'IT'S THE ARTS'","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
80,1,"Episode One: Whither Canada?","It's the Arts",Direction,,,"Linkman sitting at desk","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
81,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Michael Palin",Linkman,"Good evening and welcome to another edition of 'It's the Arts'. And we kick off this evening with the cinema.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
82,1,"Episode One: Whither Canada?","It's the Arts",Direction,,,"Cut to second interviewer an Ross.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
83,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer","Good evening. One of the most prolific film directors of this age, or indeed of any age, is Sir Edward Ross, back in his native country for the first time for five years to open a season of his works at the National Film Theatre, and we are very fortunate to have him with us in this studio this evening.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
84,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Graham Chapman",Ross,"Good evening.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
85,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer","Edward... you don't mind if I call you Edward?","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
86,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Graham Chapman",Ross,"No, not at all.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
87,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer","Only it does worry some people - I don't know why...but they are a little sensitive so I take the precaution of asking on these occasions.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
88,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Graham Chapman",Ross,"No, no, no that's fine.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
89,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer","So Edward's all right. Splendid. Splendid. I'm sorry to have brought it up, only eh...","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
90,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Graham Chapman",Ross,"No, no, please. Edward it is.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
91,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer","Well thank you very much for being so helpful...only it's more than my job's worth to...er...","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
92,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Graham Chapman",Ross,"Quite, yes.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
93,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer","Makes it rather difficult to establish a rapport ... to put the other person at his ease...","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
94,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Graham Chapman",Ross,Quite.,"1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
95,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer","Yes, silly little point but it does seem to matter. Still - less said the better. Uh...Ted...when you first started in...you don't mind if I call you Ted?","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
96,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Graham Chapman",Ross,"No, no, no everyone calls me Ted.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
97,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer","Well it's shorter, isn't it.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
98,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Graham Chapman",Ross,"Yes it is.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
99,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer","Yes, and much less formal!","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
100,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Graham Chapman",Ross,"Yes, Ted, Edward, anything!","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
101,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer","Splendid, splendid. Incidentally, do call me Tom, I don't want you playing around with any of this 'Thomas' nonsense! Ha ha ha ha! Now where were we? Ah yes. Eddie-baby, when you first started in the...","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
102,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Graham Chapman",Ross,"I'm sorry, I'm sorry, but I don't like being called 'Eddie-baby'.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
103,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer","I'm sorry?","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
104,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Graham Chapman",Ross,"I don't like being called 'Eddie-baby'.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
105,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer","Did I call you 'Eddie-baby'?","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
106,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Graham Chapman",Ross,"Yes, you did! Now get on with it.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
107,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer","I don't think I did call you Eddie-baby.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
108,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Graham Chapman",Ross,"You did call me Eddie-baby.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
109,1,"Episode One: Whither Canada?","It's the Arts",Direction,,"Second Interviewer","looking off-screen","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
110,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer","Did I call him Eddie-baby?","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
111,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,,Voices,"Yes. No. Yes.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
112,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer","I didn't really call you Eddie-baby, did I, sweetie?","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
113,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Graham Chapman",Ross,"Don't call me sweetie!!","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
114,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer","Can I call you sugar plum?","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
115,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Graham Chapman",Ross,No!,"1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
116,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer","Pussy cat?","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
117,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Graham Chapman",Ross,No.,"1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
118,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer",Angel-drawers?,"1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
119,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Graham Chapman",Ross,"No you may not! Now get on with it!","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
120,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer","Can I call you 'Frank'?","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
121,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Graham Chapman",Ross,"Why Frank?","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
122,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer","It's a nice name. Robin Day's got a hedgehog called Frank.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
123,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Graham Chapman",Ross,"What is going on?","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
124,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer","Frannie, little Frannie, Frannie Knickers...","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
125,1,"Episode One: Whither Canada?","It's the Arts",Direction,,Ross,"Getting up","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
126,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Graham Chapman",Ross,"No. I'm leaving. I'm leaving. I'm off...","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
127,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer","Tell us about your latest film, Sir Edward.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
128,1,"Episode One: Whither Canada?","It's the Arts",Direction,,Ross,Off-screen,"1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
129,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Graham Chapman",Ross,What?,"1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
130,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer","Tell us about your latest film, if you'd be so very kind, Sir Edward.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
131,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Graham Chapman",Ross,"None of this 'pussy cat' nonsense?","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
132,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer",Promise.,"1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
133,1,"Episode One: Whither Canada?","It's the Arts",Direction,,"Second Interviewer","Pats seat","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
134,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer","Please, Sir Edward.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
135,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Graham Chapman",Ross,"My latest film?","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
136,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"John Cleese","Second Interviewer","Yes, Sir Edward.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
137,1,"Episode One: Whither Canada?","It's the Arts",Dialogue,"Graham Chapman",Ross,"Well the idea, funnily enough, came from an idea I had when I first joined the industry in 1919. Of course, in those days I was only the tea boy.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
